# Map for SIMON32/64, rounds=12, blocks=4, with_rk
# Format: name output_index

# Ciphertext outputs
ct[2][0][14] output 78
ct[2][0][15] output 79
ct[2][1][0] output 80
ct[2][1][1] output 81
ct[2][1][2] output 82
ct[2][1][3] output 83
ct[2][1][4] output 84
ct[2][1][5] output 85
ct[2][1][6] output 86
ct[2][1][7] output 87
ct[2][1][8] output 88
ct[2][1][9] output 89
ct[2][1][10] output 90
ct[2][1][11] output 91
ct[2][1][12] output 92
ct[2][1][13] output 93
ct[2][1][14] output 94
ct[2][1][15] output 95
ct[3][0][0] output 96
ct[3][0][1] output 97
ct[3][0][2] output 98
ct[3][0][3] output 99
ct[3][0][4] output 100
ct[3][0][5] output 101
ct[3][0][6] output 102
ct[3][0][7] output 103
ct[3][0][8] output 104
ct[3][0][9] output 105
ct[3][0][10] output 106
ct[3][0][11] output 107
ct[3][0][12] output 108
ct[3][0][13] output 109
ct[3][0][14] output 110
ct[3][0][15] output 111
ct[3][1][0] output 112
ct[3][1][1] output 113
ct[3][1][2] output 114
ct[3][1][3] output 115
ct[3][1][4] output 116
ct[3][1][5] output 117
ct[3][1][6] output 118
ct[3][1][7] output 119
ct[3][1][8] output 120
ct[3][1][9] output 121
ct[3][1][10] output 122
ct[3][1][11] output 123
ct[3][1][12] output 124
ct[3][1][13] output 125
ct[3][1][14] output 126
ct[3][1][15] output 127

# Round key outputs
rk[0][0] output 128
rk[0][1] output 129
rk[0][2] output 130
rk[0][3] output 131
rk[0][4] output 132
rk[0][5] output 133
rk[0][6] output 134
rk[0][7] output 135
rk[0][8] output 136
rk[0][9] output 137
rk[0][10] output 138
rk[0][11] output 139
rk[0][12] output 140
rk[0][13] output 141
rk[0][14] output 142
rk[0][15] output 143
rk[1][0] output 144
rk[1][1] output 145
rk[1][2] output 146
rk[1][3] output 147
rk[1][4] output 148
rk[1][5] output 149
rk[1][6] output 150
rk[1][7] output 151
rk[1][8] output 152
rk[1][9] output 153
rk[1][10] output 154
rk[1][11] output 155
rk[1][12] output 156
rk[1][13] output 157
rk[1][14] output 158
rk[1][15] output 159
rk[2][0] output 160
rk[2][1] output 161
rk[2][2] output 162
rk[2][3] output 163
rk[2][4] output 164
rk[2][5] output 165
rk[2][6] output 166
rk[2][7] output 167
rk[2][8] output 168
rk[2][9] output 169
rk[2][10] output 170
rk[2][11] output 171
rk[2][12] output 172
rk[2][13] output 173
rk[2][14] output 174
rk[2][15] output 175
rk[3][0] output 176
rk[3][1] output 177
rk[3][2] output 178
rk[3][3] output 179
rk[3][4] output 180
rk[3][5] output 181
rk[3][6] output 182
rk[3][7] output 183
rk[3][8] output 184
rk[3][9] output 185
rk[3][10] output 186
rk[3][11] output 187
rk[3][12] output 188
rk[3][13] output 189
rk[3][14] output 190
rk[3][15] output 191
rk[4][0] output 192
rk[4][1] output 193
rk[4][2] output 194
rk[4][3] output 195
rk[4][4] output 196
rk[4][5] output 197
rk[4][6] output 198
rk[4][7] output 199
rk[4][8] output 200
rk[4][9] output 201
rk[4][10] output 202
rk[4][11] output 203
rk[4][12] output 204
rk[4][13] output 205
rk[4][14] output 206
rk[4][15] output 207
rk[5][0] output 208
rk[5][1] output 209
rk[5][2] output 210
rk[5][3] output 211
rk[5][4] output 212
rk[5][5] output 213
rk[5][6] output 214
rk[5][7] output 215
rk[5][8] output 216
rk[5][9] output 217
rk[5][10] output 218
rk[5][11] output 219
rk[5][12] output 220
rk[5][13] output 221
rk[5][14] output 222
rk[5][15] output 223
rk[6][0] output 224
rk[6][1] output 225
rk[6][2] output 226
rk[6][3] output 227
rk[6][4] output 228
rk[6][5] output 229
rk[6][6] output 230
rk[6][7] output 231
rk[6][8] output 232
rk[6][9] output 233
rk[6][10] output 234
rk[6][11] output 235
rk[6][12] output 236
rk[6][13] output 237
rk[6][14] output 238
rk[6][15] output 239
rk[7][0] output 240
rk[7][1] output 241
rk[7][2] output 242
rk[7][3] output 243
rk[7][4] output 244
rk[7][5] output 245
rk[7][6] output 246
rk[7][7] output 247
rk[7][8] output 248
rk[7][9] output 249
rk[7][10] output 250
rk[7][11] output 251
rk[7][12] output 252
rk[7][13] output 253
rk[7][14] output 254
rk[7][15] output 255
rk[8][0] output 256
rk[8][1] output 257
rk[8][2] output 258
rk[8][3] output 259
rk[8][4] output 260
rk[8][5] output 261
rk[8][6] output 262
rk[8][7] output 263
rk[8][8] output 264
rk[8][9] output 265
rk[8][10] output 266
rk[8][11] output 267
rk[8][12] output 268
rk[8][13] output 269
rk[8][14] output 270
rk[8][15] output 271
rk[9][0] output 272
rk[9][1] output 273
rk[9][2] output 274
rk[9][3] output 275
rk[9][4] output 276
rk[9][5] output 277
rk[9][6] output 278
rk[9][7] output 279
rk[9][8] output 280
rk[9][9] output 281
rk[9][10] output 282
rk[9][11] output 283
rk[9][12] output 284
rk[9][13] output 285
rk[9][14] output 286
rk[9][15] output 287
rk[10][0] output 288
rk[10][1] output 289
rk[10][2] output 290
rk[10][3] output 291
rk[10][4] output 292
rk[10][5] output 293
rk[10][6] output 294
rk[10][7] output 295
rk[10][8] output 296
rk[10][9] output 297
rk[10][10] output 298
rk[10][11] output 299
rk[10][12] output 300
rk[10][13] output 301
rk[10][14] output 302
rk[10][15] output 303
rk[11][0] output 304
rk[11][1] output 305
rk[11][2] output 306
rk[11][3] output 307
rk[11][4] output 308
rk[11][5] output 309
rk[11][6] output 310
rk[11][7] output 311
rk[11][8] output 312
rk[11][9] output 313
rk[11][10] output 314
rk[11][11] output 315
rk[11][12] output 316
rk[11][13] output 317
rk[11][14] output 318
rk[11][15] output 319
