# Combined map
# rounds=12, blocks=2
# Format:
# <name> input/output <index> aig_lit <aig_lit> dimacs_lit <dimacs_lit>

# Inputs
pt[1][0][11] input 107 aig_lit 216 dimacs_lit 108
pt[1][0][12] input 108 aig_lit 218 dimacs_lit 109
pt[1][0][13] input 109 aig_lit 220 dimacs_lit 110
pt[1][0][14] input 110 aig_lit 222 dimacs_lit 111
pt[1][0][15] input 111 aig_lit 224 dimacs_lit 112
pt[1][1][0] input 112 aig_lit 226 dimacs_lit 113
pt[1][1][1] input 113 aig_lit 228 dimacs_lit 114
pt[1][1][2] input 114 aig_lit 230 dimacs_lit 115
pt[1][1][3] input 115 aig_lit 232 dimacs_lit 116
pt[1][1][4] input 116 aig_lit 234 dimacs_lit 117
pt[1][1][5] input 117 aig_lit 236 dimacs_lit 118
pt[1][1][6] input 118 aig_lit 238 dimacs_lit 119
pt[1][1][7] input 119 aig_lit 240 dimacs_lit 120
pt[1][1][8] input 120 aig_lit 242 dimacs_lit 121
pt[1][1][9] input 121 aig_lit 244 dimacs_lit 122
pt[1][1][10] input 122 aig_lit 246 dimacs_lit 123
pt[1][1][11] input 123 aig_lit 248 dimacs_lit 124
pt[1][1][12] input 124 aig_lit 250 dimacs_lit 125
pt[1][1][13] input 125 aig_lit 252 dimacs_lit 126
pt[1][1][14] input 126 aig_lit 254 dimacs_lit 127
pt[1][1][15] input 127 aig_lit 256 dimacs_lit 128

# Outputs
ct[0][0][0] output 0 aig_lit 4965 dimacs_lit -2482
ct[0][0][1] output 1 aig_lit 5305 dimacs_lit -2652
ct[0][0][2] output 2 aig_lit 5521 dimacs_lit -2760
ct[0][0][3] output 3 aig_lit 5700 dimacs_lit 2850
ct[0][0][4] output 4 aig_lit 5857 dimacs_lit -2928
ct[0][0][5] output 5 aig_lit 5966 dimacs_lit 2983
ct[0][0][6] output 6 aig_lit 6025 dimacs_lit -3012
ct[0][0][7] output 7 aig_lit 6083 dimacs_lit -3041
ct[0][0][8] output 8 aig_lit 6141 dimacs_lit -3070
ct[0][0][9] output 9 aig_lit 6179 dimacs_lit -3089
ct[0][0][10] output 10 aig_lit 6217 dimacs_lit -3108
ct[0][0][11] output 11 aig_lit 6254 dimacs_lit 3127
ct[0][0][12] output 12 aig_lit 6293 dimacs_lit -3146
ct[0][0][13] output 13 aig_lit 6330 dimacs_lit 3165
ct[0][0][14] output 14 aig_lit 6369 dimacs_lit -3184
ct[0][0][15] output 15 aig_lit 6401 dimacs_lit -3200
ct[0][1][0] output 16 aig_lit 6121 dimacs_lit -3060
ct[0][1][1] output 17 aig_lit 4675 dimacs_lit -2337
ct[0][1][2] output 18 aig_lit 4947 dimacs_lit -2473
ct[0][1][3] output 19 aig_lit 5121 dimacs_lit -2560
ct[0][1][4] output 20 aig_lit 5467 dimacs_lit -2733
ct[0][1][5] output 21 aig_lit 5648 dimacs_lit 2824
ct[0][1][6] output 22 aig_lit 5799 dimacs_lit -2899
ct[0][1][7] output 23 aig_lit 5926 dimacs_lit 2963
ct[0][1][8] output 24 aig_lit 4834 dimacs_lit 2417
ct[0][1][9] output 25 aig_lit 5248 dimacs_lit 2624
ct[0][1][10] output 26 aig_lit 5406 dimacs_lit 2703
ct[0][1][11] output 27 aig_lit 5681 dimacs_lit -2840
ct[0][1][12] output 28 aig_lit 5819 dimacs_lit -2909
ct[0][1][13] output 29 aig_lit 5946 dimacs_lit 2973
ct[0][1][14] output 30 aig_lit 6005 dimacs_lit -3002
ct[0][1][15] output 31 aig_lit 6045 dimacs_lit -3022
ct[1][0][0] output 32 aig_lit 9320 dimacs_lit 4660
ct[1][0][1] output 33 aig_lit 9541 dimacs_lit -4770
ct[1][0][2] output 34 aig_lit 9660 dimacs_lit 4830
ct[1][0][3] output 35 aig_lit 9780 dimacs_lit 4890
ct[1][0][4] output 36 aig_lit 9900 dimacs_lit 4950
ct[1][0][5] output 37 aig_lit 9981 dimacs_lit -4990
ct[1][0][6] output 38 aig_lit 10020 dimacs_lit 5010
ct[1][0][7] output 39 aig_lit 10061 dimacs_lit -5030
ct[1][0][8] output 40 aig_lit 10101 dimacs_lit -5050
ct[1][0][9] output 41 aig_lit 10120 dimacs_lit 5060
ct[1][0][10] output 42 aig_lit 10141 dimacs_lit -5070
ct[1][0][11] output 43 aig_lit 10161 dimacs_lit -5080
ct[1][0][12] output 44 aig_lit 10181 dimacs_lit -5090
ct[1][0][13] output 45 aig_lit 10200 dimacs_lit 5100
ct[1][0][14] output 46 aig_lit 10220 dimacs_lit 5110
ct[1][0][15] output 47 aig_lit 10240 dimacs_lit 5120
ct[1][1][0] output 48 aig_lit 10080 dimacs_lit 5040
ct[1][1][1] output 49 aig_lit 9121 dimacs_lit -4560
ct[1][1][2] output 50 aig_lit 9309 dimacs_lit -4654
ct[1][1][3] output 51 aig_lit 9529 dimacs_lit -4764
ct[1][1][4] output 52 aig_lit 9648 dimacs_lit 4824
ct[1][1][5] output 53 aig_lit 9768 dimacs_lit 4884
ct[1][1][6] output 54 aig_lit 9889 dimacs_lit -4944
ct[1][1][7] output 55 aig_lit 9969 dimacs_lit -4984
ct[1][1][8] output 56 aig_lit 9221 dimacs_lit -4610
ct[1][1][9] output 57 aig_lit 9460 dimacs_lit 4730
ct[1][1][10] output 58 aig_lit 9601 dimacs_lit -4800
ct[1][1][11] output 59 aig_lit 9721 dimacs_lit -4860
ct[1][1][12] output 60 aig_lit 9841 dimacs_lit -4920
ct[1][1][13] output 61 aig_lit 9940 dimacs_lit 4970
ct[1][1][14] output 62 aig_lit 10001 dimacs_lit -5000
ct[1][1][15] output 63 aig_lit 10041 dimacs_lit -5020
rk[0][0] output 64 aig_lit 2 dimacs_lit 1
