rounds,key,blocks,vars,clauses,literals,path
10,1,1,2560,7456,17312,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K1/instances/simon32_64_r10_key1_b1_base.cnf
10,1,2,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K1/instances/simon32_64_r10_key1_b2_base.cnf
10,1,4,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K1/instances/simon32_64_r10_key1_b4_base.cnf
10,1,8,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K1/instances/simon32_64_r10_key1_b8_base.cnf
10,2,1,2560,7456,17312,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K2/instances/simon32_64_r10_key2_b1_base.cnf
10,2,2,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K2/instances/simon32_64_r10_key2_b2_base.cnf
10,2,4,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K2/instances/simon32_64_r10_key2_b4_base.cnf
10,2,8,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K2/instances/simon32_64_r10_key2_b8_base.cnf
10,3,1,2560,7456,17312,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K3/instances/simon32_64_r10_key3_b1_base.cnf
10,3,2,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K3/instances/simon32_64_r10_key3_b2_base.cnf
10,3,4,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K3/instances/simon32_64_r10_key3_b4_base.cnf
10,3,8,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K3/instances/simon32_64_r10_key3_b8_base.cnf
10,4,1,2560,7456,17312,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K4/instances/simon32_64_r10_key4_b1_base.cnf
10,4,2,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K4/instances/simon32_64_r10_key4_b2_base.cnf
10,4,4,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K4/instances/simon32_64_r10_key4_b4_base.cnf
10,4,8,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K4/instances/simon32_64_r10_key4_b8_base.cnf
10,5,1,2560,7456,17312,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K5/instances/simon32_64_r10_key5_b1_base.cnf
10,5,2,4192,12320,28576,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K5/instances/simon32_64_r10_key5_b2_base.cnf
10,5,4,7456,22048,51104,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K5/instances/simon32_64_r10_key5_b4_base.cnf
10,5,8,13984,41504,96160,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/10roundsCNF/K5/instances/simon32_64_r10_key5_b8_base.cnf
11,1,1,2864,8368,19440,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K1/instances/simon32_64_r11_key1_b1_base.cnf
11,1,2,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K1/instances/simon32_64_r11_key1_b2_base.cnf
11,1,4,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K1/instances/simon32_64_r11_key1_b4_base.cnf
11,1,8,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K1/instances/simon32_64_r11_key1_b8_base.cnf
11,2,1,2864,8368,19440,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K2/instances/simon32_64_r11_key2_b1_base.cnf
11,2,2,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K2/instances/simon32_64_r11_key2_b2_base.cnf
11,2,4,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K2/instances/simon32_64_r11_key2_b4_base.cnf
11,2,8,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K2/instances/simon32_64_r11_key2_b8_base.cnf
11,3,1,2864,8368,19440,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K3/instances/simon32_64_r11_key3_b1_base.cnf
11,3,2,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K3/instances/simon32_64_r11_key3_b2_base.cnf
11,3,4,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K3/instances/simon32_64_r11_key3_b4_base.cnf
11,3,8,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K3/instances/simon32_64_r11_key3_b8_base.cnf
11,4,1,2864,8368,19440,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K4/instances/simon32_64_r11_key4_b1_base.cnf
11,4,2,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K4/instances/simon32_64_r11_key4_b2_base.cnf
11,4,4,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K4/instances/simon32_64_r11_key4_b4_base.cnf
11,4,8,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K4/instances/simon32_64_r11_key4_b8_base.cnf
11,5,1,2864,8368,19440,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K5/instances/simon32_64_r11_key5_b1_base.cnf
11,5,2,4656,13712,31824,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K5/instances/simon32_64_r11_key5_b2_base.cnf
11,5,4,8240,24400,56592,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K5/instances/simon32_64_r11_key5_b4_base.cnf
11,5,8,15408,45776,106128,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/11roundsCNF/K5/instances/simon32_64_r11_key5_b8_base.cnf
12,1,1,3168,9280,21568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K1/instances/simon32_64_r12_key1_b1_base.cnf
12,1,2,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K1/instances/simon32_64_r12_key1_b2_base.cnf
12,1,4,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K1/instances/simon32_64_r12_key1_b4_base.cnf
12,1,8,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K1/instances/simon32_64_r12_key1_b8_base.cnf
12,2,1,3168,9280,21568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K2/instances/simon32_64_r12_key2_b1_base.cnf
12,2,2,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K2/instances/simon32_64_r12_key2_b2_base.cnf
12,2,4,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K2/instances/simon32_64_r12_key2_b4_base.cnf
12,2,8,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K2/instances/simon32_64_r12_key2_b8_base.cnf
12,3,1,3168,9280,21568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K3/instances/simon32_64_r12_key3_b1_base.cnf
12,3,2,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K3/instances/simon32_64_r12_key3_b2_base.cnf
12,3,4,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K3/instances/simon32_64_r12_key3_b4_base.cnf
12,3,8,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K3/instances/simon32_64_r12_key3_b8_base.cnf
12,4,1,3168,9280,21568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K4/instances/simon32_64_r12_key4_b1_base.cnf
12,4,2,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K4/instances/simon32_64_r12_key4_b2_base.cnf
12,4,4,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K4/instances/simon32_64_r12_key4_b4_base.cnf
12,4,8,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K4/instances/simon32_64_r12_key4_b8_base.cnf
12,5,1,3168,9280,21568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K5/instances/simon32_64_r12_key5_b1_base.cnf
12,5,2,5120,15104,35072,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K5/instances/simon32_64_r12_key5_b2_base.cnf
12,5,4,9024,26752,62080,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K5/instances/simon32_64_r12_key5_b4_base.cnf
12,5,8,16832,50048,116096,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/12roundsCNF/K5/instances/simon32_64_r12_key5_b8_base.cnf
13,1,1,3472,10192,23696,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/13roundsCNF/K1/instances/simon32_64_r13_key1_b1_base.cnf
13,1,2,5584,16496,38320,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/13roundsCNF/K1/instances/simon32_64_r13_key1_b2_base.cnf
13,1,4,9808,29104,67568,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/13roundsCNF/K1/instances/simon32_64_r13_key1_b4_base.cnf
13,1,8,18256,54320,126064,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/13roundsCNF/K1/instances/simon32_64_r13_key1_b8_base.cnf
13,2,1,3472,10192,23696,/home/balerso/Simon/Simon-Limitations/limitations/BASECNF/with_rk/13roundsCNF/K2/instances/simon32_64_r13_key2_b1_base.cnf
